253	16	12	10	35	23	42	7	7306
131	66	38	126	0	8	9	4	2945
100	90	31	7	55	26	24	3	11027
496	27	24	22	14	9	18	8	3102
24	13	37	40	50	6	31	25	5552
297	27	10	4	26	37	29	9	11157
9	12	10	1	11	76	10	47	844
92	31	8	8	52	35	32	15	53748
62	18	67	48	29	27	6	23	5816
159	35	23	45	6	56	12	12	984
50	14	26	42	9	74	5	22	19876
80	109	4	82	11	6	33	8	27746
116	83	34	28	16	51	10	9	2522
229	16	39	31	8	11	48	10	54261
5	10	80	88	24	16	1	23	6478
99	12	112	3	22	24	21	19	22010
131	9	10	65	11	3	0	64	2878
94	10	11	24	25	11	26	51	236
210	11	44	42	79	6	3	5	12185
131	3	26	22	27	54	18	17	3613
77	75	106	15	17	2	46	0	33446
114	2	105	34	42	2	31	2	10654
186	9	6	10	31	22	45	20	8310
13	1	11	64	31	20	35	25	1234
168	71	24	45	21	30	15	9	3377
123	63	63	5	31	18	33	9	48038
1	126	57	11	19	27	29	12	2185
41	10	191	14	25	18	3	10	25272
203	109	15	10	2	6	16	45	2274
15	18	84	9	43	3	12	46	4905
100	32	15	31	10	73	29	0	910
347	112	0	3	70	10	1	3	12653
162	22	6	11	46	27	20	28	3046
69	9	60	16	27	73	0	15	2980
279	207	7	3	1	9	33	1	8852
197	11	27	50	26	3	40	12	27879
235	45	24	29	26	0	43	10	6519
140	4	2	46	109	3	5	11	2165
18	10	74	115	42	5	8	1	230
117	12	15	20	39	9	67	5	16306
10	29	72	12	72	12	20	15	7026
1	110	142	1	15	31	16	0	7413
142	187	15	13	27	31	6	6	19146
111	63	7	75	16	2	42	10	26449
140	75	43	17	41	1	18	25	1388
84	143	1	15	29	63	4	5	5262
40	136	2	0	40	27	24	22	6911
161	68	4	43	32	51	3	7	1976
176	45	47	29	48	11	5	20	16997
21	11	35	3	88	60	8	1	3704
248	52	57	1	17	9	34	15	1838
174	101	18	45	6	3	50	2	37057
51	72	48	3	35	13	12	42	4579
2	31	9	5	21	19	34	57	12493
68	38	16	13	39	19	49	16	1138
73	117	29	34	15	49	3	13	15742
80	83	51	34	34	2	5	34	4361
29	26	73	40	15	32	15	24	9267
384	15	84	12	0	13	32	1	3235
86	112	3	108	13	15	2	13	2384
14	103	6	25	49	3	25	31	1148
30	51	14	54	43	29	27	7	12125
151	5	67	31	1	51	13	17	1052
38	1	141	10	26	11	35	10	265
38	1	141	10	26	11	35	10	265
38	1	141	10	26	11	35	10	263
38	1	141	10	26	11	35	10	287
26	68	44	9	41	6	43	19	1964
18	29	42	4	82	6	32	17	519
18	29	42	4	82	6	32	17	511
42	66	8	3	17	31	9	60	9594
122	146	11	9	10	41	27	7	1278
197	55	47	3	4	37	14	28	6133
24	65	68	34	11	78	1	0	25344
164	33	170	8	20	3	2	15	20897
242	56	3	2	32	67	5	7	7390
272	4	2	20	45	24	23	16	48618
