93	10	4	15	80	26	21	17	5881
267	24	40	30	7	14	18	28	4568
84	71	3	17	9	17	50	28	13399
123	59	29	43	21	4	45	10	5843
5	5	11	31	3	76	35	17	1997
33	21	24	10	9	38	36	39	616
138	30	75	98	1	22	0	9	10803
90	39	88	12	58	5	16	14	3870
578	22	5	9	7	49	2	1	2592
100	30	22	34	23	16	29	31	1228
215	104	5	39	34	3	30	4	3219
131	49	11	71	15	3	47	7	43536
51	121	1	60	45	10	5	21	2657
61	35	3	68	0	45	34	13	518
61	35	3	68	0	45	34	13	449
146	181	30	3	8	2	14	33	21516
435	48	29	53	3	4	21	1	4167
58	291	18	38	5	9	5	8	19285
6	18	52	40	18	14	60	9	2878
413	76	82	4	27	3	4	2	45675
2	17	85	44	30	24	33	4	631
70	0	25	13	4	30	13	67	4507
63	9	79	1	36	39	24	15	8584
191	98	30	29	24	10	5	27	23986
428	83	17	2	5	53	4	0	10679
123	71	45	77	11	6	15	15	184
123	71	45	77	11	6	15	15	184
123	71	45	77	11	6	15	15	185
123	71	45	77	11	6	15	15	184
123	71	45	77	11	6	15	15	181
379	59	21	18	0	36	0	22	24346
1	90	3	91	53	2	7	18	6552
281	2	18	9	1	69	2	27	2311
32	31	18	75	32	19	42	1	1462
80	191	27	2	31	20	10	16	4568
58	12	168	10	17	19	9	17	794
253	79	27	10	14	31	28	5	13612
116	23	124	0	41	5	33	3	12607
298	3	38	26	21	14	7	33	2860
32	55	10	14	24	33	42	23	877
176	198	7	25	26	7	9	12	490
176	198	7	25	26	7	9	12	513
257	66	7	5	48	9	20	20	35590
11	34	66	13	1	48	54	3	18697
13	43	73	99	25	7	9	10	26619
86	3	34	58	17	0	7	58	51427
94	49	2	27	43	15	35	21	618
2	37	45	9	27	30	34	28	6332
21	18	44	47	13	23	20	38	6110
0	140	7	77	8	14	5	32	24153
42	61	7	66	50	14	15	17	686
5	68	30	0	56	58	19	4	16860
135	13	4	49	81	8	14	13	792
135	13	4	49	81	8	14	13	786
158	170	51	19	22	4	5	16	7083
112	24	12	8	68	19	2	41	3309
