33	477	7	4	395
279	145	13	104	3442
189	95	27	141	510
437	116	73	34	5012
298	52	126	61	542
65	245	111	34	2428
371	50	99	64	294
107	367	33	21	79
166	186	2	120	27
517	146	61	8	324
413	169	51	30	96
164	60	16	173	459
506	52	38	75	581
282	95	52	99	308
238	121	40	106	1105
97	107	59	134	137
60	246	116	31	138
9	173	215	6	36
9	173	215	6	53
400	13	114	64	260
31	388	71	1	117
126	105	60	127	12
126	105	60	127	10
130	43	208	46	41
373	128	49	62	12
373	128	49	62	11
97	333	27	45	896
29	62	33	193	39
29	62	33	193	30
80	191	142	34	214
11	157	185	36	10
99	50	187	66	6
305	0	33	155	123
305	0	33	155	115
198	110	102	75	636
176	159	42	101	293
3	11	3	4	1	11	0	3	15	12	15	4	0	5	11	11	3749
