164	1	4	17	13	13	5	9	2	4	3	5	6	6	9	5	138281
9	3	7	36	2	2	3	5	8	0	18	11	10	3	5	7	4802
1	31	19	4	12	6	0	4	4	1	6	4	13	7	3	18	22797
5	4	41	4	0	2	0	14	2	2	15	9	10	14	1	6	2837
176	5	20	10	4	1	1	12	14	0	9	1	12	4	0	10	4129
2	15	56	4	0	12	5	0	23	21	2	1	9	3	5	1	28805
16	0	45	6	2	4	2	10	6	7	13	0	15	0	13	4	14125
9	18	27	12	3	18	0	0	16	2	18	9	6	2	9	1	4214
7	14	2	6	14	10	8	16	1	1	7	4	10	12	5	8	10105
3	0	27	21	9	0	3	5	7	1	8	12	10	5	11	5	6178
3	0	4	7	3	26	3	18	4	14	2	6	9	7	0	10	21553
0	1	98	4	7	1	12	17	12	4	1	15	1	6	1	0	15458
3	6	11	31	37	2	5	8	2	0	11	0	3	15	8	3	10699
3	9	3	3	1	3	2	15	25	16	12	0	1	4	1	14	3463
14	4	8	8	2	8	12	6	5	1	34	10	0	6	5	3	2057
42	2	16	1	3	33	2	0	15	7	6	5	0	3	10	11	5871
0	20	4	5	10	7	49	0	12	0	1	1	1	5	1	18	151326
5	0	9	2	1	5	3	0	5	14	2	18	2	14	5	13	8800
23	1	8	31	8	21	0	11	5	7	6	0	6	14	2	7	2158
0	28	7	8	10	33	6	1	1	6	0	3	14	3	0	18	3965
102	8	23	23	2	23	6	8	2	3	1	2	9	0	13	6	16103
2	0	21	17	5	2	7	10	15	13	1	0	3	17	4	7	10903
3	3	9	24	1	2	16	11	9	11	3	3	9	8	6	6	22242
4	23	53	15	2	4	11	3	1	3	7	0	24	4	8	1	9073
170	20	6	0	6	7	16	0	3	0	2	3	3	25	6	3	5236
2	3	4	6	2	0	15	2	0	5	16	5	13	1	20	5	8248
21	19	1	1	2	2	4	1	5	0	1	8	0	37	10	5	17454
0	7	8	15	0	6	14	4	4	3	1	6	28	8	9	0	13994
49	15	1	1	0	3	24	0	3	8	17	2	17	4	3	7	42785
10	4	69	9	19	2	16	0	4	10	1	1	2	3	3	17	2376
3	12	3	1	0	1	9	2	3	25	5	20	18	0	3	3	23507
1	3	7	3	2	7	18	2	0	9	31	12	3	4	8	0	1655
0	1	6	8	13	6	16	9	5	5	25	0	1	8	0	12	30514
12	7	10	11	4	8	12	37	1	2	5	4	8	0	0	15	2938
1	12	55	7	1	24	7	2	1	5	0	9	3	2	10	13	2752
14	12	8	5	7	1	3	1	0	12	1	21	0	3	17	12	39039
32	14	15	10	21	1	21	0	7	14	3	6	0	2	19	0	9480
22	5	3	2	32	3	0	3	0	10	14	11	10	1	13	3	2637
0	12	13	13	0	0	6	18	12	18	1	7	9	6	5	4	47658
88	28	20	3	23	2	5	4	8	0	17	8	4	5	7	2	17901
37	10	2	4	3	0	10	3	14	12	3	2	10	5	19	3	76604
0	1	0	20	9	6	21	1	8	3	11	9	0	17	7	2	32955
1	71	8	8	0	0	13	27	9	5	0	2	1	5	8	10	5427
1	54	1	42	1	16	16	6	8	3	6	5	4	0	5	8	14777
1	4	22	0	0	0	2	0	0	10	3	8	19	22	9	1	38126
9	14	12	6	7	3	1	9	1	15	5	10	9	2	4	16	17445
11	49	0	7	39	14	7	2	16	6	3	2	11	1	3	5	3592
9	0	6	2	0	1	3	6	12	1	10	3	3	10	9	21	5909
2	26	5	52	11	0	14	8	3	13	2	8	8	1	7	2	9314
20	2	22	18	6	24	22	0	5	2	5	5	1	21	1	2	25450
23	1	0	22	9	0	10	41	6	5	13	7	5	4	0	1	171749
15	37	0	4	7	0	4	16	1	3	5	4	12	3	12	13	34678
1	3	2	5	8	3	48	1	15	10	3	17	1	1	6	0	20658
1	1	2	4	1	10	4	1	1	1	0	19	10	11	1	22	7931
93	2	2	14	6	8	2	7	21	1	0	4	16	2	6	9	11096
16	4	1	11	1	3	49	15	16	2	3	4	4	1	4	6	3614
1	0	8	15	5	20	12	1	16	20	9	2	4	2	5	5	4632
3	0	1	13	6	9	5	3	26	14	1	9	6	5	10	2	72742
2	17	26	4	0	2	6	0	21	20	3	2	14	6	0	8	1710
1	29	23	0	0	8	5	0	4	0	18	0	10	11	9	10	55286
1	0	1	7	21	1	7	1	5	0	23	5	1	27	5	0	16247
2	2	0	3	12	1	1	23	24	0	1	6	4	14	6	7	5363
8	3	20	4	2	1	47	7	11	7	11	3	0	3	11	0	7158
56	9	1	6	0	5	24	1	1	13	0	10	6	1	18	6	35125
25	1	0	10	3	0	0	1	2	10	7	20	3	18	0	13	9575
7	14	3	21	5	28	14	6	8	1	2	1	7	11	12	1	4207
1	36	42	5	2	2	3	3	2	3	16	11	8	8	10	1	3621
151	9	0	3	5	10	1	1	2	9	1	17	15	4	7	4	14130
180	6	4	27	4	3	23	8	9	7	0	1	3	1	7	8	4307
67	3	3	20	0	2	8	28	4	3	4	7	0	1	22	2	6031
0	10	29	6	13	0	14	11	7	10	0	9	8	4	13	1	7997
10	1	0	5	7	18	2	0	2	6	9	0	7	28	1	10	17265
6	2	6	4	0	3	10	9	12	8	19	0	2	3	13	10	6005
8	40	19	11	0	2	13	8	23	1	0	9	10	3	5	6	7846
5	8	10	13	8	30	8	4	3	3	7	1	1	12	18	1	126205
0	4	7	34	6	0	0	15	38	15	0	0	0	1	5	8	25717
4	1	1	2	1	7	52	4	1	6	10	4	9	10	0	5	6399
28	0	30	3	12	2	2	25	7	2	6	2	10	15	1	5	4373
9	3	4	23	11	2	2	8	2	16	2	10	8	6	4	12	8556
24	1	0	3	0	13	3	22	1	29	4	2	12	2	0	10	10674
2	0	0	6	5	3	15	14	0	14	8	29	3	0	5	3	36346
10	0	25	6	4	2	0	28	10	26	0	1	1	6	8	5	26913
92	0	2	3	0	8	2	12	1	2	14	2	10	2	25	1	7994
2	5	11	0	8	21	54	1	12	9	2	1	3	9	2	0	4413
16	13	1	3	39	40	3	29	0	9	4	1	1	2	4	2	18897
124	0	5	2	8	10	5	8	12	21	0	11	0	4	4	7	37828
2	0	8	13	1	18	17	2	10	9	18	3	5	1	3	10	11920
12	7	1	6	10	21	4	3	3	8	5	8	12	10	3	9	29584
4	0	12	7	2	5	0	12	5	4	0	21	9	2	14	8	5901
0	1	28	9	12	8	0	1	0	16	0	14	10	10	4	8	52702
26	8	3	1	20	0	9	8	9	12	2	16	6	6	11	0	20896
5	1	2	0	2	7	2	5	1	23	14	1	24	7	6	0	48761
